year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	10.000000	19.000000	90.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	12.000000	1.000000	Inf	0.000000	1.000000	0.447381	0.033336	0.746063	0.000000	0.000000	1.000000	0.000000	0.072057	NaN	2.166261	NaN	0.155402	0.072057	1476920867.118764	1476920867.680141	0.072057	0.038716	2.147335	0.155402	2.172393	1476920866.368639	1476920866.359079	3.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	315.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	12.000000	1.000000	Inf	0.000000	2.000000	0.455196	0.033336	0.506214	0.000000	0.000000	1.000000	0.000000	0.054164	NaN	1.147477	NaN	0.137507	0.054164	1476920870.602652	1476920871.173595	0.054164	0.020825	1.142107	0.137507	1.154341	1476920869.852534	1476920870.096042	8.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	135.000000	1.325100	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	12.000000	1.000000	Inf	0.000000	3.000000	0.497425	0.033336	0.547135	0.000000	0.000000	0.000000	0.000000	0.054155	NaN	1.402672	NaN	0.137505	0.054155	1476920873.078052	1476920873.648996	0.054155	0.020822	1.370631	0.137505	1.412711	1476920872.327936	1476920872.530494	4.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	180.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	12.000000	1.000000	Inf	0.000000	4.000000	0.503533	0.033336	0.543837	0.000000	0.000000	1.000000	0.000000	0.054150	NaN	0.823630	NaN	0.137496	0.054150	1476920875.811827	1476920876.382777	0.054150	0.020811	0.812889	0.137496	0.829278	1476920875.061707	1476920875.267166	5.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	225.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	7.559526	1.000000	Inf	0.000000	5.000000	0.461433	0.033336	0.537422	0.000000	0.000000	1.000000	0.000000	0.054183	NaN	0.721250	NaN	0.137524	0.054183	1476920877.962173	1476920878.533094	0.054183	0.020844	0.718501	0.137524	0.729290	1476920877.212055	1476920877.424305	6.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	270.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083340	9.524406	1.000000	Inf	0.000000	6.000000	0.503688	0.033336	0.548271	0.000000	0.000000	1.000000	0.000000	0.054144	NaN	2.894966	NaN	0.137491	0.054144	1476920880.012506	1476920880.583460	0.054144	0.020805	2.876369	0.137491	2.904602	1476920879.262384	1476920879.463089	7.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	270.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	4.762203	1.000000	Inf	0.000000	7.000000	0.461340	0.033336	0.543887	0.000000	0.000000	1.000000	0.000000	0.054140	NaN	1.079927	NaN	0.137486	0.054140	1476920884.238187	1476920884.809143	0.054140	0.020801	1.058456	0.137486	1.087642	1476920883.488062	1476920883.693867	7.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	270.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	3.000000	1.000000	Inf	0.000000	8.000000	0.455106	0.033336	0.543596	0.000000	0.000000	1.000000	0.000000	0.054140	NaN	2.425896	NaN	0.137488	0.054140	1476920886.646906	1476920887.217864	0.054140	0.020806	2.409700	0.137488	2.429523	1476920885.896785	1476920886.102927	7.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	45.000000	1.325100	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	1.889882	1.000000	Inf	0.000000	9.000000	0.461273	0.033336	0.544333	0.000000	0.000000	1.000000	0.000000	0.062492	NaN	1.256622	NaN	0.145839	0.062492	1476920890.397507	1476920890.968454	0.062492	0.029149	1.235107	0.145839	1.262680	1476920889.647387	1476920889.852611	2.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	0.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	1.190551	1.000000	Inf	0.000000	10.000000	0.455227	0.033336	0.542861	0.000000	0.000000	0.000000	0.000000	0.054152	NaN	1.531466	NaN	0.137495	0.054152	1476920892.981259	1476920893.552210	0.054152	0.020809	1.515422	0.137495	1.537721	1476920892.231133	1476920892.437830	1.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	135.000000	1.325100	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	4.762203	1.000000	Inf	0.000000	11.000000	0.506871	0.033336	0.544239	0.000000	0.000000	0.000000	0.000000	0.054148	NaN	0.827343	NaN	0.137498	0.054148	1476920895.840052	1476920896.411000	0.054148	0.020810	0.808756	0.137498	0.829278	1476920895.089931	1476920895.295390	4.000000	-1.000000	11.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	180.000000	1.325100	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	19.048813	1.000000	Inf	0.000000	12.000000	0.455231	0.033336	0.545029	0.000000	0.000000	1.000000	0.000000	0.062485	NaN	1.685068	NaN	0.145828	0.062485	1476920897.990398	1476920898.561348	0.062485	0.029146	1.681997	0.145828	1.687748	1476920897.240278	1476920897.444776	5.000000	1.000000	12.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	45.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	12.000000	1.000000	Inf	0.000000	13.000000	0.470515	0.033336	0.543105	0.000000	0.000000	1.000000	0.000000	0.062476	NaN	0.916242	NaN	0.145824	0.062476	1476920900.999215	1476920901.570175	0.062476	0.029138	0.913412	0.145824	0.920944	1476920900.249096	1476920900.455677	2.000000	-1.000000	13.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	270.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	7.559526	1.000000	Inf	0.000000	14.000000	0.455136	0.033336	0.543688	0.000000	0.000000	1.000000	0.000000	0.054147	NaN	2.279554	NaN	0.137496	0.054147	1476920903.241242	1476920903.812195	0.054147	0.020807	2.263410	0.137496	2.287838	1476920902.491119	1476920902.696979	7.000000	-1.000000	14.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	90.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083340	9.524406	1.000000	Inf	0.000000	15.000000	0.461137	0.033336	0.546040	0.000000	0.000000	1.000000	0.000000	0.054142	NaN	0.974633	NaN	0.137486	0.054142	1476920906.850155	1476920907.421114	0.054142	0.020803	0.966311	0.137486	0.979289	1476920906.100033	1476920906.303651	3.000000	-1.000000	15.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	90.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	4.762203	1.000000	Inf	0.000000	16.000000	0.455170	0.033336	0.546446	0.000000	0.000000	1.000000	0.000000	0.054144	NaN	1.020932	NaN	0.137486	0.054144	1476920909.150521	1476920909.721483	0.054144	0.020803	1.010112	0.137486	1.029300	1476920908.400403	1476920908.603650	3.000000	-1.000000	16.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	315.000000	1.325100	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083340	3.000000	1.000000	Inf	0.000000	17.000000	0.461143	0.033336	0.544653	0.000000	0.000000	1.000000	0.000000	0.054155	NaN	1.529237	NaN	0.137497	0.054155	1476920911.500901	1476920912.071849	0.054155	0.020818	1.515746	0.137497	1.537722	1476920910.750783	1476920910.955866	8.000000	1.000000	17.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2016.000000	10.000000	19.000000	180.000000	1.325100	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083340	3.779763	1.000000	Inf	0.000000	18.000000	0.455097	0.033336	0.541459	0.000000	0.000000	1.000000	0.000000	0.054147	NaN	1.017100	NaN	0.137490	0.054147	1476920914.359696	1476920914.930649	0.054147	0.020806	1.009158	0.137490	1.020967	1476920913.609571	1476920913.817744	5.000000	-1.000000	18.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
