year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	3.000000	19.000000	315.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	15.000000	1.000000	Inf	0.000000	1.000000	0.487760	0.033334	0.747495	0.000000	0.000000	1.000000	0.000000	0.083544	NaN	1.194575	NaN	0.166895	0.083544	1458411121.099658	1458411121.666214	0.083544	0.050203	1.176555	0.166895	1.200388	1458411120.349539	1458411120.345204	8.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	45.000000	1.325033	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	15.000000	1.000000	Inf	0.000000	2.000000	0.472497	0.033334	0.520401	0.000000	0.000000	1.000000	0.000000	0.054219	NaN	0.934518	NaN	0.137566	0.054219	1458411123.616725	1458411124.187603	0.054219	0.020878	0.927469	0.137566	0.937694	1458411122.866602	1458411123.095953	2.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	180.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	15.000000	1.000000	Inf	0.000000	3.000000	0.525471	0.033334	0.559031	0.000000	0.000000	1.000000	0.000000	0.054225	NaN	1.022504	NaN	0.137574	0.054225	1458411125.875418	1458411126.446288	0.054225	0.020889	1.005038	0.137574	1.029381	1458411125.125297	1458411125.315982	5.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	45.000000	1.325033	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	15.000000	1.000000	Inf	0.000000	4.000000	0.472441	0.033334	0.563595	0.000000	0.000000	1.000000	0.000000	0.054214	NaN	0.976122	NaN	0.137565	0.054214	1458411128.225791	1458411128.796671	0.054214	0.020876	0.974511	0.137565	0.979363	1458411127.475669	1458411127.661410	2.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	180.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	9.449408	1.000000	Inf	0.000000	5.000000	0.495043	0.033334	0.551203	0.000000	0.000000	1.000000	0.000000	0.054220	NaN	1.427761	NaN	0.137561	0.054220	1458411130.526155	1458411131.097036	0.054220	0.020876	1.426180	0.137561	1.429433	1458411129.776034	1458411129.974492	5.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	180.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083335	11.905508	1.000000	Inf	0.000000	6.000000	0.472644	0.033334	0.554586	0.000000	0.000000	1.000000	0.000000	0.062546	NaN	1.407982	NaN	0.145894	0.062546	1458411133.276593	1458411133.847477	0.062546	0.029207	1.395578	0.145894	1.412764	1458411132.526469	1458411132.720912	5.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	90.000000	1.325033	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	5.952754	1.000000	Inf	0.000000	7.000000	0.495067	0.033334	0.560431	0.000000	0.000000	0.000000	0.000000	0.054214	NaN	1.148952	NaN	0.137565	0.054214	1458411136.010362	1458411136.581242	0.054214	0.020876	1.109543	0.137565	1.154389	1458411135.260241	1458411135.449499	3.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	45.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083335	23.811016	1.000000	Inf	0.000000	8.000000	0.481393	0.033334	0.557448	0.000000	0.000000	1.000000	0.000000	0.054241	NaN	0.806814	NaN	0.137588	0.054241	1458411138.485754	1458411139.056609	0.054241	0.020900	0.794582	0.137588	0.812695	1458411137.735631	1458411137.927865	2.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	315.000000	1.325033	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083335	25.000000	1.000000	Inf	0.000000	9.000000	0.496008	0.033334	0.563059	0.000000	0.000000	1.000000	0.000000	0.054228	NaN	0.977099	NaN	0.137577	0.054228	1458411140.619428	1458411141.190296	0.054228	0.020892	0.972840	0.137577	0.979378	1458411139.869304	1458411140.055932	8.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
2016.000000	3.000000	19.000000	180.000000	1.325033	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083335	25.000000	1.000000	Inf	0.000000	10.000000	0.473098	0.033334	0.556789	0.000000	0.000000	1.000000	0.000000	0.062563	NaN	1.130091	NaN	0.145908	0.062563	1458411142.919790	1458411143.490663	0.062563	0.029225	1.120766	0.145908	1.137733	1458411142.169674	1458411142.362571	5.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.791667	
