year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	3.000000	26.000000	135.000000	1.324994	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083333	25.000000	1.000000	Inf	0.000000	1.000000	0.504664	0.033333	0.746115	0.000000	0.000000	0.000000	0.000000	0.063289	NaN	1.243320	NaN	0.146636	0.063289	1459028828.104569	1459028828.666379	0.063289	0.029947	1.211384	0.146636	1.246810	1459028827.354448	1459028827.345433	4.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	135.000000	1.324994	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	15.000000	1.000000	Inf	0.000000	2.000000	0.480264	0.033333	0.511317	0.000000	0.000000	1.000000	0.000000	0.062584	NaN	1.000830	NaN	0.145935	0.062584	1459028830.663308	1459028831.234154	0.062584	0.029250	0.986881	0.145935	1.004402	1459028829.913189	1459028830.151112	4.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	90.000000	1.324994	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	15.000000	1.000000	Inf	0.000000	3.000000	0.516564	0.033333	0.555636	0.000000	0.000000	1.000000	0.000000	0.062580	NaN	0.744767	NaN	0.145927	0.062580	1459028832.988675	1459028833.559525	0.062580	0.029244	0.741638	0.145927	0.754360	1459028832.238556	1459028832.432605	3.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	45.000000	1.324994	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	15.000000	1.000000	Inf	0.000000	4.000000	0.480228	0.033333	0.552759	0.000000	0.000000	1.000000	0.000000	0.054239	NaN	1.592104	NaN	0.137587	0.054239	1459028835.064000	1459028835.634862	0.054239	0.020905	1.586564	0.137587	1.596150	1459028834.313885	1459028834.510419	2.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	180.000000	1.324994	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	9.449408	1.000000	Inf	0.000000	5.000000	0.516974	0.033333	0.546469	0.000000	0.000000	1.000000	0.000000	0.054256	NaN	1.171007	NaN	0.137598	0.054256	1459028837.981130	1459028838.551978	0.054256	0.020915	1.157340	0.137598	1.179430	1459028837.231012	1459028837.434243	5.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	90.000000	1.324994	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	5.952754	1.000000	Inf	0.000000	6.000000	0.480268	0.033333	0.555913	0.000000	0.000000	1.000000	0.000000	0.054255	NaN	0.953282	NaN	0.137602	0.054255	1459028840.481532	1459028841.052371	0.054255	0.020921	0.944654	0.137602	0.962737	1459028839.731409	1459028839.925209	3.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	180.000000	1.324994	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	3.750000	1.000000	Inf	0.000000	7.000000	0.476507	0.033333	0.552504	0.000000	0.000000	1.000000	0.000000	0.054239	NaN	1.016214	NaN	0.137580	0.054239	1459028842.765226	1459028843.336087	0.054239	0.020899	0.996888	0.137580	1.021056	1459028842.015108	1459028842.212312	5.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	0.000000	1.324994	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	2.362352	1.000000	Inf	0.000000	8.000000	0.480325	0.033333	0.553600	0.000000	0.000000	0.000000	0.000000	0.054237	NaN	1.255545	NaN	0.137588	0.054237	1459028845.107258	1459028845.678122	0.054237	0.020899	1.254805	0.137588	1.262766	1459028844.357143	1459028844.553248	1.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	90.000000	1.324994	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	9.449408	1.000000	Inf	0.000000	9.000000	0.477948	0.033333	0.556689	0.000000	0.000000	1.000000	0.000000	0.054260	NaN	0.911789	NaN	0.137609	0.054260	1459028847.691002	1459028848.261840	0.054260	0.020925	0.911293	0.137609	0.921067	1459028846.940888	1459028847.133896	3.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
2016.000000	3.000000	26.000000	135.000000	1.324994	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083333	11.905508	1.000000	Inf	0.000000	10.000000	0.518605	0.033333	0.555777	0.000000	0.000000	0.000000	0.000000	0.054257	NaN	1.037882	NaN	0.137603	0.054257	1459028849.933026	1459028850.503872	0.054257	0.020917	1.021563	0.137603	1.046077	1459028849.182907	1459028849.376480	4.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749997	1.000000	1.000000	1.000000	0.708333	
