year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	4.000000	1.000000	0.000000	1.324963	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	15.000000	1.000000	Inf	0.000000	1.000000	0.466760	0.033332	0.746574	0.000000	0.000000	1.000000	0.000000	0.073959	NaN	1.699335	NaN	0.157304	0.073959	1459533201.275975	1459533201.843786	0.073959	0.040621	1.692323	0.157304	1.707548	1459533200.525859	1459533200.522796	1.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	45.000000	1.324963	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	15.000000	1.000000	Inf	0.000000	2.000000	0.473776	0.033332	0.514246	0.000000	0.000000	1.000000	0.000000	0.054288	NaN	0.697535	NaN	0.137638	0.054288	1459533204.301453	1459533204.872266	0.054288	0.020948	0.680479	0.137638	0.704391	1459533203.551334	1459533203.786821	2.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	315.000000	1.324963	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	15.000000	1.000000	Inf	0.000000	3.000000	0.473493	0.033332	0.550689	0.000000	0.000000	1.000000	0.000000	0.054277	NaN	1.616133	NaN	0.137623	0.054277	1459533206.326776	1459533206.897601	0.054277	0.020935	1.606678	0.137623	1.621186	1459533205.576657	1459533205.775682	8.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	180.000000	1.324963	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	15.000000	1.000000	Inf	0.000000	4.000000	0.475308	0.033332	0.551238	0.000000	0.000000	1.000000	0.000000	0.054297	NaN	1.084704	NaN	0.137643	0.054297	1459533209.268906	1459533209.839709	0.054297	0.020959	1.080788	0.137643	1.087795	1459533208.518787	1459533208.716855	5.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	45.000000	1.324963	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	9.449408	1.000000	Inf	0.000000	5.000000	0.473719	0.033332	0.539230	0.000000	0.000000	1.000000	0.000000	0.062622	NaN	0.916023	NaN	0.145963	0.062622	1459533211.677628	1459533212.248440	0.062622	0.029283	0.896258	0.145963	0.921085	1459533210.927505	1459533211.138003	2.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	225.000000	1.324963	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	5.952754	1.000000	Inf	0.000000	6.000000	0.475384	0.033332	0.555439	0.000000	0.000000	1.000000	0.000000	0.054298	NaN	1.490013	NaN	0.137643	0.054298	1459533213.919646	1459533214.490448	0.054298	0.020960	1.469691	0.137643	1.496197	1459533213.169525	1459533213.363781	6.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	270.000000	1.324963	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083331	7.500000	1.000000	Inf	0.000000	7.000000	0.473636	0.033332	0.555686	0.000000	0.000000	1.000000	0.000000	0.054293	NaN	1.446175	NaN	0.137641	0.054293	1459533216.736758	1459533217.307565	0.054293	0.020957	1.436932	0.137641	1.454520	1459533215.986645	1459533216.179956	7.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	90.000000	1.324963	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	3.750000	1.000000	Inf	0.000000	8.000000	0.474936	0.033332	0.557463	0.000000	0.000000	1.000000	0.000000	0.054292	NaN	1.102745	NaN	0.137635	0.054292	1459533219.512198	1459533220.083009	0.054292	0.020955	1.093504	0.137635	1.112790	1459533218.762084	1459533218.954314	3.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	135.000000	1.324963	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	2.362352	1.000000	Inf	0.000000	9.000000	0.514724	0.033332	0.554268	0.000000	0.000000	1.000000	0.000000	0.054293	NaN	1.527730	NaN	0.137639	0.054293	1459533221.945921	1459533222.516724	0.054293	0.020955	1.507378	0.137639	1.529528	1459533221.195799	1459533221.391247	4.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
2016.000000	4.000000	1.000000	225.000000	1.324963	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083331	1.488188	1.000000	Inf	0.000000	10.000000	0.473999	0.033332	0.549116	0.000000	0.000000	1.000000	0.000000	0.062609	NaN	1.002586	NaN	0.145953	0.062609	1459533224.796368	1459533225.367200	0.062609	0.029264	0.992899	0.145953	1.004421	1459533224.046252	1459533224.246813	6.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749979	1.000000	1.000000	1.000000	0.791667	
