year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	3.000000	25.000000	135.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	15.000000	1.000000	Inf	0.000000	1.000000	0.482978	0.033331	0.746036	0.000000	0.000000	0.000000	0.000000	0.072710	NaN	1.038728	NaN	0.156060	0.072710	1458933314.089419	1458933314.658477	0.072710	0.039371	1.001309	0.156060	1.047867	1458933313.339299	1458933313.337594	4.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	45.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	15.000000	1.000000	Inf	0.000000	2.000000	0.475962	0.033331	0.514799	0.000000	0.000000	1.000000	0.000000	0.054344	NaN	1.400579	NaN	0.137694	0.054344	1458933316.456461	1458933317.027215	0.054344	0.021008	1.392820	0.137694	1.404562	1458933315.706344	1458933315.941226	2.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	225.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	15.000000	1.000000	Inf	0.000000	3.000000	0.489792	0.033331	0.554422	0.000000	0.000000	1.000000	0.000000	0.054335	NaN	1.363175	NaN	0.137681	0.054335	1458933319.181898	1458933319.752656	0.054335	0.021003	1.355525	0.137681	1.371218	1458933318.431777	1458933318.627015	6.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	90.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	15.000000	1.000000	Inf	0.000000	4.000000	0.476356	0.033331	0.555897	0.000000	0.000000	1.000000	0.000000	0.054333	NaN	0.847076	NaN	0.137690	0.054333	1458933321.873987	1458933322.444755	0.054333	0.020991	0.839042	0.137690	0.854460	1458933321.123874	1458933321.317228	3.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	180.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	9.449408	1.000000	Inf	0.000000	5.000000	0.490725	0.033331	0.543183	0.000000	0.000000	1.000000	0.000000	0.054348	NaN	1.722398	NaN	0.137696	0.054348	1458933324.049337	1458933324.620086	0.054348	0.021009	1.711969	0.137696	1.729616	1458933323.299215	1458933323.505647	5.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	0.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	5.952754	1.000000	Inf	0.000000	6.000000	0.477598	0.033331	0.551685	0.000000	0.000000	1.000000	0.000000	0.054344	NaN	1.786558	NaN	0.137696	0.054344	1458933327.099819	1458933327.670570	0.054344	0.021008	1.781297	0.137696	1.796288	1458933326.349702	1458933326.547462	1.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	270.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	3.750000	1.000000	Inf	0.000000	7.000000	0.490953	0.033331	0.557529	0.000000	0.000000	1.000000	0.000000	0.054361	NaN	1.528116	NaN	0.137709	0.054361	1458933330.216978	1458933330.787715	0.054361	0.021024	1.520181	0.137709	1.537932	1458933329.466858	1458933329.658956	7.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	45.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	2.362352	1.000000	Inf	0.000000	8.000000	0.477295	0.033331	0.553497	0.000000	0.000000	0.000000	0.000000	0.054348	NaN	2.040013	NaN	0.137689	0.054348	1458933333.075765	1458933333.646520	0.054348	0.021005	2.021164	0.137689	2.046330	1458933332.325647	1458933332.521775	2.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	45.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083327	18.898816	1.000000	Inf	0.000000	9.000000	0.489170	0.033331	0.548831	0.000000	0.000000	1.000000	0.000000	0.062683	NaN	1.104740	NaN	0.146028	0.062683	1458933336.442966	1458933337.013719	0.062683	0.029346	1.102020	0.146028	1.112847	1458933335.692850	1458933335.892961	2.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	135.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	9.449408	1.000000	Inf	0.000000	10.000000	0.477289	0.033331	0.560119	0.000000	0.000000	1.000000	0.000000	0.054364	NaN	1.252412	NaN	0.137714	0.054364	1458933338.876688	1458933339.447422	0.054364	0.021026	1.244526	0.137714	1.254552	1458933338.126566	1458933338.316068	4.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	315.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	5.952754	1.000000	Inf	0.000000	11.000000	0.491250	0.033331	0.555217	0.000000	0.000000	0.000000	0.000000	0.062703	NaN	2.175740	NaN	0.146048	0.062703	1458933341.452095	1458933342.022830	0.062703	0.029360	2.157129	0.146048	2.179703	1458933340.701974	1458933340.896377	8.000000	-1.000000	11.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	225.000000	1.324896	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	23.811016	1.000000	Inf	0.000000	12.000000	0.477330	0.033331	0.558636	0.000000	0.000000	1.000000	0.000000	0.054341	NaN	0.765718	NaN	0.137683	0.054341	1458933344.952648	1458933345.523411	0.054341	0.020999	0.760683	0.137683	0.771122	1458933344.202533	1458933344.393522	6.000000	-1.000000	12.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
2016.000000	3.000000	25.000000	225.000000	1.324896	1.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083327	15.000000	1.000000	Inf	0.000000	13.000000	0.489486	0.033331	0.553645	0.000000	0.000000	1.000000	0.000000	0.054332	NaN	1.020381	NaN	0.137684	0.054332	1458933347.044647	1458933347.615414	0.054332	0.020998	1.012263	0.137684	1.029488	1458933346.294533	1458933346.490515	6.000000	1.000000	13.000000	1.000000	960.000000	540.000000	0.749941	1.000000	1.000000	1.000000	0.770833	
