year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	10.000000	18.000000	0.000000	1.324874	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	8.000000	1.000000	Inf	0.000000	1.000000	0.409986	0.033330	0.746084	0.000000	0.000000	1.000000	0.000000	0.064072	NaN	0.812683	NaN	0.147422	0.064072	1476836541.159253	1476836541.720282	0.064072	0.030733	0.801139	0.147422	0.822531	1476836540.409132	1476836540.399447	1.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	135.000000	1.324874	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	8.000000	1.000000	Inf	0.000000	2.000000	0.380298	0.033330	0.494611	0.000000	0.000000	1.000000	0.000000	0.054384	NaN	0.589382	NaN	0.137726	0.054384	1476836543.292931	1476836543.863647	0.054384	0.021046	0.570130	0.137726	0.596135	1476836542.542813	1476836542.797859	4.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	45.000000	1.324874	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	8.000000	1.000000	Inf	0.000000	3.000000	0.482040	0.033330	0.527458	0.000000	0.000000	1.000000	0.000000	0.054394	NaN	0.741689	NaN	0.137742	0.054394	1476836545.209906	1476836545.780606	0.054394	0.021061	0.732973	0.137742	0.746171	1476836544.459782	1476836544.682011	2.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	45.000000	1.324874	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	8.000000	1.000000	Inf	0.000000	4.000000	0.374494	0.033330	0.530586	0.000000	0.000000	1.000000	0.000000	0.054372	NaN	0.530737	NaN	0.137718	0.054372	1476836547.276899	1476836547.847629	0.054372	0.021031	0.522110	0.137718	0.537783	1476836546.526777	1476836546.745400	2.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	270.000000	1.324874	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.039684	1.000000	Inf	0.000000	5.000000	0.482464	0.033330	0.519787	0.000000	0.000000	1.000000	0.000000	0.054390	NaN	0.826774	NaN	0.137740	0.054390	1476836549.135533	1476836549.706239	0.054390	0.021055	0.815366	0.137740	0.829520	1476836548.385412	1476836548.615292	7.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	45.000000	1.324874	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	3.174802	1.000000	Inf	0.000000	6.000000	0.380867	0.033330	0.523193	0.000000	0.000000	0.000000	0.000000	0.062727	NaN	0.703054	NaN	0.146072	0.062727	1476836551.285873	1476836551.856583	0.062727	0.029390	0.672900	0.146072	0.712829	1476836550.535758	1476836550.762232	2.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	225.000000	1.324874	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	12.699208	1.000000	Inf	0.000000	7.000000	0.423174	0.033330	0.527419	0.000000	0.000000	1.000000	0.000000	0.054388	NaN	0.845328	NaN	0.137732	0.054388	1476836553.319532	1476836553.890247	0.054388	0.021051	0.839740	0.137732	0.854514	1476836552.569412	1476836552.791653	6.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	0.000000	1.324874	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083325	16.000000	1.000000	Inf	0.000000	8.000000	0.376898	0.033330	0.526761	0.000000	0.000000	1.000000	0.000000	0.054386	NaN	0.760708	NaN	0.137734	0.054386	1476836555.494885	1476836556.065595	0.054386	0.021051	0.759958	0.137734	0.762836	1476836554.744761	1476836554.966874	1.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	45.000000	1.324874	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	8.000000	1.000000	Inf	0.000000	9.000000	0.425093	0.033330	0.525504	0.000000	0.000000	1.000000	0.000000	0.062693	NaN	0.682356	NaN	0.146037	0.062693	1476836557.578552	1476836558.149291	0.062693	0.029350	0.676654	0.146037	0.687793	1476836556.828431	1476836557.052586	2.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
2016.000000	10.000000	18.000000	225.000000	1.324874	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.039684	1.000000	Inf	0.000000	10.000000	0.461276	0.033330	0.527427	0.000000	0.000000	1.000000	0.000000	0.054421	NaN	0.636426	NaN	0.137769	0.054421	1476836559.587204	1476836560.157884	0.054421	0.021079	0.636006	0.137769	0.646180	1476836558.837085	1476836559.059320	6.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.749928	1.000000	1.000000	1.000000	0.791667	
