year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	6.000000	11.000000	0.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	15.000000	1.000000	Inf	0.000000	1.000000	0.472277	0.033328	0.745140	0.000000	0.000000	1.000000	0.000000	0.065721	NaN	1.030220	NaN	0.149068	0.065721	1465682878.471920	1465682879.047972	0.065721	0.032383	1.028327	0.149068	1.032537	1465682877.721803	1465682877.718980	1.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	135.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	15.000000	1.000000	Inf	0.000000	2.000000	0.447348	0.033328	0.513217	0.000000	0.000000	1.000000	0.000000	0.054562	NaN	0.844660	NaN	0.137912	0.054562	1465682880.830634	1465682881.409502	0.054562	0.021227	0.843419	0.137912	0.854689	1465682880.080509	1465682880.316885	4.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	180.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	15.000000	1.000000	Inf	0.000000	3.000000	0.477737	0.033328	0.548355	0.000000	0.000000	1.000000	0.000000	0.046238	NaN	0.794349	NaN	0.129584	0.046238	1465682883.014310	1465682883.593175	0.046238	0.012898	0.779291	0.129584	0.796357	1465682882.264191	1465682882.465406	5.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	225.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	15.000000	1.000000	Inf	0.000000	4.000000	0.447292	0.033328	0.548591	0.000000	0.000000	1.000000	0.000000	0.054569	NaN	0.887675	NaN	0.137911	0.054569	1465682885.139651	1465682885.718516	0.054569	0.021229	0.878264	0.137911	0.896366	1465682884.389532	1465682884.590130	6.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	270.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	9.449408	1.000000	Inf	0.000000	5.000000	0.477748	0.033328	0.543820	0.000000	0.000000	1.000000	0.000000	0.046230	NaN	0.838323	NaN	0.129576	0.046230	1465682887.364999	1465682887.943870	0.046230	0.012891	0.836842	0.129576	0.846357	1465682886.614882	1465682886.820618	7.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	180.000000	1.333000	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	5.952754	1.000000	Inf	0.000000	6.000000	0.447322	0.033328	0.548359	0.000000	0.000000	1.000000	0.000000	0.046233	NaN	0.966978	NaN	0.129581	0.046233	1465682889.540347	1465682890.119212	0.046233	0.012896	0.957241	0.129581	0.971381	1465682888.790227	1465682888.991442	5.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	225.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	3.750000	1.000000	Inf	0.000000	7.000000	0.519275	0.033328	0.545947	0.000000	0.000000	1.000000	0.000000	0.046240	NaN	0.821284	NaN	0.129585	0.046240	1465682891.840713	1465682892.419573	0.046240	0.012901	0.801057	0.129585	0.829698	1465682891.090593	1465682891.294212	6.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	135.000000	1.333000	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	2.362352	1.000000	Inf	0.000000	8.000000	0.448979	0.033328	0.550993	0.000000	0.000000	1.000000	0.000000	0.046243	NaN	1.009283	NaN	0.129589	0.046243	1465682893.999389	1465682894.578242	0.046243	0.012910	0.994249	0.129589	1.013067	1465682893.249271	1465682893.447839	4.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	0.000000	1.333000	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	1.488188	1.000000	Inf	0.000000	9.000000	0.477831	0.033328	0.546964	0.000000	0.000000	1.000000	0.000000	0.046232	NaN	1.056616	NaN	0.129577	0.046232	1465682896.341425	1465682896.920292	0.046232	0.012893	1.036390	0.129577	1.063066	1465682895.591309	1465682895.793886	1.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
2016.000000	6.000000	11.000000	135.000000	1.333000	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083320	0.937500	1.000000	Inf	0.000000	10.000000	0.447445	0.033328	0.547175	0.000000	0.000000	1.000000	0.000000	0.046229	NaN	1.352514	NaN	0.129579	0.046229	1465682898.733470	1465682899.312342	0.046229	0.012894	1.332522	0.129579	1.354771	1465682897.983358	1465682898.185741	4.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749880	1.000000	1.000000	1.000000	0.812500	
