year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	10.000000	27.000000	90.000000	1.325265	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	20.000000	1.000000	Inf	0.000000	1.000000	0.504666	0.033340	0.746231	0.000000	0.000000	1.000000	0.000000	0.073743	NaN	0.698817	NaN	0.157093	0.073743	1477611339.806955	1477611340.374978	0.073743	0.040407	0.680660	0.157093	0.707180	1477611339.056833	1477611339.053760	3.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	45.000000	1.325265	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	20.000000	1.000000	Inf	0.000000	2.000000	0.445718	0.033340	0.510476	0.000000	0.000000	1.000000	0.000000	0.053988	NaN	0.697050	NaN	0.137333	0.053988	1477611341.832274	1477611342.403390	0.053988	0.020646	0.676583	0.137333	0.704086	1477611341.082158	1477611341.321404	2.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	315.000000	1.325265	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	20.000000	1.000000	Inf	0.000000	3.000000	0.471569	0.033340	0.544233	0.000000	0.000000	1.000000	0.000000	0.053983	NaN	0.805068	NaN	0.137333	0.053983	1477611343.857598	1477611344.428715	0.053983	0.020642	0.803116	0.137333	0.812436	1477611343.107476	1477611343.312917	8.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	45.000000	1.325265	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083350	25.000000	1.000000	Inf	0.000000	4.000000	0.445665	0.033340	0.549259	0.000000	0.000000	1.000000	0.000000	0.053979	NaN	0.719396	NaN	0.137324	0.053979	1477611345.991272	1477611346.562395	0.053979	0.020641	0.709654	0.137324	0.729082	1477611345.241151	1477611345.440625	2.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	225.000000	1.325265	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	20.000000	1.000000	Inf	0.000000	5.000000	0.483666	0.033340	0.546711	0.000000	0.000000	0.000000	0.000000	0.053992	NaN	1.143767	NaN	0.137337	0.053992	1477611348.041602	1477611348.612706	0.053992	0.020654	1.115121	0.137337	1.154171	1477611347.291477	1477611347.494415	6.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	0.000000	1.325265	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	25.000000	1.000000	Inf	0.000000	6.000000	0.449169	0.033340	0.535672	0.000000	0.000000	1.000000	0.000000	0.053994	NaN	0.993705	NaN	0.137340	0.053994	1477611350.516991	1477611351.088097	0.053994	0.020655	0.976678	0.137340	0.995817	1477611349.766877	1477611349.980901	1.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	225.000000	1.325265	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	15.749013	1.000000	Inf	0.000000	7.000000	0.512034	0.033340	0.549344	0.000000	0.000000	1.000000	0.000000	0.062333	NaN	1.044671	NaN	0.145680	0.062333	1477611352.834030	1477611353.405130	0.062333	0.028999	1.035130	0.145680	1.054159	1477611352.083914	1477611352.284215	6.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	90.000000	1.325265	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	9.921257	1.000000	Inf	0.000000	8.000000	0.447546	0.033340	0.549582	0.000000	0.000000	1.000000	0.000000	0.053988	NaN	0.952005	NaN	0.137334	0.053988	1477611355.209409	1477611355.780519	0.053988	0.020652	0.939714	0.137334	0.954136	1477611354.459289	1477611354.659377	3.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	180.000000	1.325265	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	6.250000	1.000000	Inf	0.000000	9.000000	0.471902	0.033340	0.548282	0.000000	0.000000	0.000000	0.000000	0.062303	NaN	0.937876	NaN	0.145648	0.062303	1477611357.484772	1477611358.055901	0.062303	0.028964	0.920367	0.145648	0.945776	1477611356.734655	1477611356.936051	5.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
2016.000000	10.000000	27.000000	135.000000	1.325265	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083350	25.000000	1.000000	Inf	0.000000	10.000000	0.448133	0.033340	0.547258	0.000000	0.000000	1.000000	0.000000	0.053982	NaN	0.889499	NaN	0.137329	0.053982	1477611359.751801	1477611360.322915	0.053982	0.020643	0.869383	0.137329	0.895782	1477611359.001677	1477611359.204075	4.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.770833	
