year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	6.000000	15.000000	0.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	7.000000	1.000000	Inf	0.000000	1.000000	0.436531	0.033332	0.746180	0.000000	0.000000	1.000000	0.000000	0.065458	NaN	0.855176	NaN	0.148804	0.065458	1466032686.912079	1466032687.480055	0.065458	0.032122	0.840539	0.148804	0.865584	1466032686.161961	1466032686.159127	1.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	90.000000	1.324931	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	7.000000	1.000000	Inf	0.000000	2.000000	0.487553	0.033332	0.508302	0.000000	0.000000	1.000000	0.000000	0.054277	NaN	0.588591	NaN	0.137623	0.054277	1466032689.095758	1466032689.666583	0.054277	0.020941	0.581549	0.137623	0.596033	1466032688.345639	1466032688.587012	3.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	315.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	7.000000	1.000000	Inf	0.000000	3.000000	0.496130	0.033332	0.541423	0.000000	0.000000	1.000000	0.000000	0.054305	NaN	0.591705	NaN	0.137645	0.054305	1466032691.012734	1466032691.583530	0.054305	0.020965	0.576852	0.137645	0.596055	1466032690.262616	1466032690.470862	8.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	45.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	7.000000	1.000000	Inf	0.000000	4.000000	0.487333	0.033332	0.545167	0.000000	0.000000	1.000000	0.000000	0.054318	NaN	0.552089	NaN	0.137663	0.054318	1466032692.929702	1466032693.500485	0.054318	0.020983	0.548081	0.137663	0.554396	1466032692.179585	1466032692.383689	2.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	90.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	4.409724	1.000000	Inf	0.000000	5.000000	0.442891	0.033332	0.532953	0.000000	0.000000	1.000000	0.000000	0.062647	NaN	0.724748	NaN	0.145995	0.062647	1466032694.805005	1466032695.375792	0.062647	0.029305	0.720757	0.145995	0.729416	1466032694.054881	1466032694.271588	3.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	225.000000	1.324931	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	2.777952	1.000000	Inf	0.000000	6.000000	0.426755	0.033332	0.544922	0.000000	0.000000	1.000000	0.000000	0.054306	NaN	0.871779	NaN	0.137656	0.054306	1466032696.855325	1466032697.426120	0.054306	0.020971	0.853880	0.137656	0.879438	1466032696.105208	1466032696.309954	6.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	270.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	1.750000	1.000000	Inf	0.000000	7.000000	0.442627	0.033332	0.545849	0.000000	0.000000	1.000000	0.000000	0.054295	NaN	1.444748	NaN	0.137648	0.054295	1466032699.055682	1466032699.626480	0.054295	0.020962	1.429955	0.137648	1.454521	1466032698.305558	1466032698.509380	7.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	45.000000	1.324931	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	1.102431	1.000000	Inf	0.000000	8.000000	0.426924	0.033332	0.537741	0.000000	0.000000	1.000000	0.000000	0.054245	NaN	1.506605	NaN	0.137595	0.054245	1466032701.831121	1466032702.401973	0.054245	0.020908	1.501986	0.137595	1.512815	1466032701.081001	1466032701.292933	2.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	270.000000	1.324931	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	0.694488	1.000000	Inf	0.000000	9.000000	0.496231	0.033332	0.537794	0.000000	0.000000	0.000000	0.000000	0.054313	NaN	0.955600	NaN	0.137662	0.054313	1466032704.664906	1466032705.235689	0.054313	0.020980	0.924305	0.137662	0.962795	1466032703.914788	1466032704.126642	7.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	315.000000	1.324931	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	2.777952	1.000000	Inf	0.000000	10.000000	0.486728	0.033332	0.532391	0.000000	0.000000	1.000000	0.000000	0.054314	NaN	1.061125	NaN	0.137666	0.054314	1466032706.948603	1466032707.519385	0.054314	0.020974	1.056448	0.137666	1.071143	1466032706.198483	1466032706.415740	8.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
2016.000000	6.000000	15.000000	90.000000	1.324931	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	1.750000	1.000000	Inf	0.000000	11.000000	0.441287	0.033332	0.537890	0.000000	0.000000	1.000000	0.000000	0.054306	NaN	0.845102	NaN	0.137657	0.054306	1466032709.340649	1466032709.911442	0.054306	0.020965	0.824596	0.137657	0.854436	1466032708.590528	1466032708.802311	3.000000	1.000000	11.000000	1.000000	960.000000	540.000000	0.749961	1.000000	1.000000	1.000000	0.791667	
