year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	7.000000	19.000000	225.000000	1.324991	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	10.000000	1.000000	Inf	0.000000	1.000000	0.415543	0.016667	0.745131	0.000000	0.000000	0.000000	0.000000	0.049028	NaN	1.714194	NaN	0.132378	0.049028	1468970786.213831	1468970786.781569	0.049028	0.032358	1.675474	0.132378	1.724300	1468970785.463718	1468970785.460623	6.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	225.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	10.000000	1.000000	Inf	0.000000	2.000000	0.379249	0.016667	0.488706	0.000000	0.000000	1.000000	0.000000	0.037589	NaN	0.994326	NaN	0.120934	0.037589	1468970789.255989	1468970789.826828	0.037589	0.020916	0.973696	0.120934	1.004408	1468970788.505869	1468970788.766887	6.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	0.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083333	20.000000	1.000000	Inf	0.000000	3.000000	0.426179	0.016667	0.532749	0.000000	0.000000	1.000000	0.000000	0.037593	NaN	0.610303	NaN	0.120938	0.037593	1468970791.581355	1468970792.152193	0.037593	0.020921	0.600236	0.120938	0.612685	1468970790.831236	1468970791.047639	1.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	270.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	10.000000	1.000000	Inf	0.000000	4.000000	0.379311	0.016667	0.535496	0.000000	0.000000	1.000000	0.000000	0.045926	NaN	0.660674	NaN	0.129278	0.045926	1468970793.514994	1468970794.085834	0.045926	0.029261	0.643085	0.129278	0.662694	1468970792.764879	1468970792.978655	7.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	0.000000	1.324991	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	6.299605	1.000000	Inf	0.000000	5.000000	0.480780	0.016667	0.527847	0.000000	0.000000	1.000000	0.000000	0.045929	NaN	0.703683	NaN	0.129274	0.045929	1468970795.498647	1468970796.069480	0.045929	0.029263	0.691418	0.129274	0.712708	1468970794.748528	1468970794.970412	1.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	315.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	3.968503	1.000000	Inf	0.000000	6.000000	0.457914	0.016667	0.532536	0.000000	0.000000	0.000000	0.000000	0.037602	NaN	0.718037	NaN	0.120944	0.037602	1468970797.532304	1468970798.103134	0.037602	0.020930	0.713368	0.120944	0.721043	1468970796.782188	1468970796.999386	8.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	0.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	15.874011	1.000000	Inf	0.000000	7.000000	0.427310	0.016667	0.533561	0.000000	0.000000	1.000000	0.000000	0.045940	NaN	0.574710	NaN	0.129285	0.045940	1468970799.574298	1468970800.145119	0.045940	0.029269	0.567345	0.129285	0.579356	1468970798.824177	1468970799.040351	1.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	270.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083333	20.000000	1.000000	Inf	0.000000	8.000000	0.379607	0.016667	0.534778	0.000000	0.000000	1.000000	0.000000	0.037600	NaN	0.637068	NaN	0.120942	0.037600	1468970801.474597	1468970802.045431	0.037600	0.020931	0.634969	0.120942	0.646029	1468970800.724475	1468970800.939430	7.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	315.000000	1.324991	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	10.000000	1.000000	Inf	0.000000	9.000000	0.427386	0.016667	0.534196	0.000000	0.000000	1.000000	0.000000	0.037622	NaN	0.590114	NaN	0.120967	0.037622	1468970803.441579	1468970804.012385	0.037622	0.020956	0.580116	0.120967	0.596041	1468970802.691460	1468970802.906997	8.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
2016.000000	7.000000	19.000000	315.000000	1.324991	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083333	6.299605	1.000000	Inf	0.000000	10.000000	0.379064	0.016667	0.534608	0.000000	0.000000	1.000000	0.000000	0.037597	NaN	0.721182	NaN	0.120950	0.037597	1468970805.358547	1468970805.929380	0.037597	0.020932	0.702970	0.120950	0.729376	1468970804.608426	1468970804.823549	8.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.749995	1.000000	1.000000	1.000000	0.750000	
