year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	12.000000	1.000000	135.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	5.000000	1.000000	Inf	0.000000	1.000000	0.547099	0.016666	0.746176	0.000000	0.000000	1.000000	0.000000	0.056959	NaN	0.928443	NaN	0.140305	0.056959	1480638194.152774	1480638194.720915	0.056959	0.040291	0.925079	0.140305	0.932099	1480638193.402651	1480638193.400024	4.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	270.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	5.000000	1.000000	Inf	0.000000	2.000000	0.553373	0.016666	0.578406	0.000000	0.000000	1.000000	0.000000	0.045994	NaN	0.723459	NaN	0.129343	0.045994	1480638196.403132	1480638196.973903	0.045994	0.029331	0.703748	0.129343	0.729442	1480638195.653014	1480638195.824295	7.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	0.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	5.000000	1.000000	Inf	0.000000	3.000000	0.552123	0.016666	0.620600	0.000000	0.000000	1.000000	0.000000	0.037656	NaN	0.657080	NaN	0.121001	0.037656	1480638198.453465	1480638199.024240	0.037656	0.020986	0.646653	0.121001	0.662757	1480638197.703345	1480638197.832368	1.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	135.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	5.000000	1.000000	Inf	0.000000	4.000000	0.552996	0.016666	0.614062	0.000000	0.000000	1.000000	0.000000	0.037628	NaN	0.700106	NaN	0.120980	0.037628	1480638200.437113	1480638201.007922	0.037628	0.020953	0.686072	0.120980	0.704401	1480638199.686997	1480638199.822214	4.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	135.000000	1.324937	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	3.149803	1.000000	Inf	0.000000	5.000000	0.554837	0.016666	0.611661	0.000000	0.000000	0.000000	0.000000	0.037689	NaN	1.000165	NaN	0.121035	0.037689	1480638202.462445	1480638203.033186	0.037689	0.021019	0.972902	0.121035	1.004506	1480638201.712322	1480638201.850244	4.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	270.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	12.599210	1.000000	Inf	0.000000	6.000000	0.552614	0.016666	0.620287	0.000000	0.000000	1.000000	0.000000	0.037666	NaN	0.701440	NaN	0.121008	0.037666	1480638204.787814	1480638205.358582	0.037666	0.020997	0.687062	0.121008	0.704443	1480638204.037692	1480638204.167029	7.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	315.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	7.937005	1.000000	Inf	0.000000	7.000000	0.552631	0.016666	0.616115	0.000000	0.000000	1.000000	0.000000	0.045985	NaN	0.489503	NaN	0.129330	0.045985	1480638206.813139	1480638207.383922	0.045985	0.029318	0.485692	0.129330	0.496058	1480638206.063025	1480638206.196588	8.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	270.000000	1.324937	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	5.000000	1.000000	Inf	0.000000	8.000000	0.552839	0.016666	0.619539	0.000000	0.000000	1.000000	0.000000	0.037679	NaN	0.869816	NaN	0.121026	0.037679	1480638208.630101	1480638209.200855	0.037679	0.021010	0.869153	0.121026	0.879475	1480638207.879980	1480638208.010045	7.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	90.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083329	3.149803	1.000000	Inf	0.000000	9.000000	0.553404	0.016666	0.618186	0.000000	0.000000	1.000000	0.000000	0.037673	NaN	0.717548	NaN	0.121018	0.037673	1480638210.830454	1480638211.401216	0.037673	0.020997	0.716781	0.121018	0.721113	1480638210.080330	1480638210.211771	3.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
2016.000000	12.000000	1.000000	0.000000	1.324937	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083329	3.968503	1.000000	Inf	0.000000	10.000000	0.551014	0.016666	0.615670	0.000000	0.000000	1.000000	0.000000	0.045978	NaN	0.851465	NaN	0.129326	0.045978	1480638212.872448	1480638213.443237	0.045978	0.029310	0.842599	0.129326	0.854439	1480638212.122329	1480638212.255644	1.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749965	1.000000	1.000000	1.000000	0.750000	
