year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	12.000000	15.000000	0.000000	1.324871	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.000000	1.000000	Inf	0.000000	1.000000	0.550035	0.016665	0.745854	0.000000	0.000000	1.000000	0.000000	0.056856	NaN	0.609021	NaN	0.140205	0.056856	1481831937.701982	1481831938.270223	0.056856	0.040188	0.588330	0.140205	0.615280	1481831936.951863	1481831936.949356	1.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	270.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.000000	1.000000	Inf	0.000000	2.000000	0.554762	0.016665	0.584960	0.000000	0.000000	1.000000	0.000000	0.037707	NaN	0.678292	NaN	0.121054	0.037707	1481831939.635625	1481831940.206347	0.037707	0.021034	0.660384	0.121054	0.687809	1481831938.885503	1481831939.050188	7.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	90.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.000000	1.000000	Inf	0.000000	3.000000	0.552351	0.016665	0.619987	0.000000	0.000000	1.000000	0.000000	0.037726	NaN	0.674899	NaN	0.121073	0.037726	1481831941.644275	1481831942.214981	0.037726	0.021054	0.667318	0.121073	0.679492	1481831940.894156	1481831941.023766	3.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	180.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	5.000000	1.000000	Inf	0.000000	4.000000	0.551886	0.016665	0.615021	0.000000	0.000000	1.000000	0.000000	0.037721	NaN	0.658579	NaN	0.121069	0.037721	1481831943.644595	1481831944.215304	0.037721	0.021053	0.643599	0.121069	0.662821	1481831942.894473	1481831943.028696	5.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	45.000000	1.324871	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	3.149803	1.000000	Inf	0.000000	5.000000	0.553358	0.016665	0.607492	0.000000	0.000000	1.000000	0.000000	0.037695	NaN	0.573599	NaN	0.121043	0.037695	1481831945.628242	1481831946.198973	0.037695	0.021030	0.555538	0.121043	0.579451	1481831944.878125	1481831945.020229	2.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	180.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	1.984251	1.000000	Inf	0.000000	6.000000	0.553616	0.016665	0.612869	0.000000	0.000000	1.000000	0.000000	0.037718	NaN	0.593284	NaN	0.121062	0.037718	1481831947.528548	1481831948.099258	0.037718	0.021050	0.575700	0.121062	0.596140	1481831946.778424	1481831946.915199	5.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	45.000000	1.324871	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	1.250000	1.000000	Inf	0.000000	7.000000	0.556049	0.016665	0.616490	0.000000	0.000000	1.000000	0.000000	0.046063	NaN	0.703024	NaN	0.129409	0.046063	1481831949.445521	1481831950.016217	0.046063	0.029394	0.690281	0.129409	0.712838	1481831948.695398	1481831948.828512	2.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	135.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	0.787451	1.000000	Inf	0.000000	8.000000	0.554067	0.016665	0.620505	0.000000	0.000000	1.000000	0.000000	0.037725	NaN	0.610700	NaN	0.121074	0.037725	1481831951.479179	1481831952.049879	0.037725	0.021053	0.601255	0.121074	0.612815	1481831950.729055	1481831950.858139	4.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	270.000000	1.324871	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	0.496063	1.000000	Inf	0.000000	9.000000	0.554301	0.016665	0.613596	0.000000	0.000000	1.000000	0.000000	0.046061	NaN	0.959726	NaN	0.129413	0.046061	1481831953.412814	1481831953.983518	0.046061	0.029397	0.955570	0.129413	0.962878	1481831952.662694	1481831952.798693	7.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
2016.000000	12.000000	15.000000	315.000000	1.324871	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083325	0.312500	1.000000	Inf	0.000000	10.000000	0.557383	0.016665	0.615897	0.000000	0.000000	1.000000	0.000000	0.046042	NaN	0.553345	NaN	0.129387	0.046042	1481831955.696513	1481831956.267235	0.046042	0.029370	0.535491	0.129387	0.562789	1481831954.946396	1481831955.080091	8.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749927	1.000000	1.000000	1.000000	0.770833	
