year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2016.000000	12.000000	27.000000	90.000000	1.324915	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083328	10.000000	1.000000	Inf	0.000000	1.000000	0.550754	0.016666	0.746218	0.000000	0.000000	1.000000	0.000000	0.048817	NaN	0.902291	NaN	0.132162	0.048817	1482864928.078126	1482864928.646074	0.048817	0.032145	0.890937	0.132162	0.907290	1482864927.328011	1482864927.325180	3.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	270.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	5.000000	1.000000	Inf	0.000000	2.000000	0.545025	0.016666	0.579676	0.000000	0.000000	1.000000	0.000000	0.037642	NaN	0.935417	NaN	0.120982	0.037642	1482864930.303481	1482864930.874274	0.037642	0.020971	0.926259	0.120982	0.937781	1482864929.553364	1482864929.722875	7.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	180.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083328	10.000000	1.000000	Inf	0.000000	3.000000	0.552582	0.016666	0.617477	0.000000	0.000000	1.000000	0.000000	0.046002	NaN	0.746053	NaN	0.129354	0.046002	1482864932.562176	1482864933.132937	0.046002	0.029335	0.739763	0.129354	0.754452	1482864931.812055	1482864931.944288	5.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	45.000000	1.324915	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	5.000000	1.000000	Inf	0.000000	4.000000	0.552717	0.016666	0.617193	0.000000	0.000000	1.000000	0.000000	0.037654	NaN	0.825387	NaN	0.121003	0.037654	1482864934.637507	1482864935.208280	0.037654	0.020986	0.808041	0.121003	0.829447	1482864933.887389	1482864934.019463	2.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	180.000000	1.324915	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	3.149803	1.000000	Inf	0.000000	5.000000	0.553144	0.016666	0.606631	0.000000	0.000000	1.000000	0.000000	0.037671	NaN	0.723027	NaN	0.121020	0.037671	1482864936.787853	1482864937.358606	0.037671	0.021001	0.722004	0.121020	0.729455	1482864936.037727	1482864936.180752	5.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	270.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	1.984251	1.000000	Inf	0.000000	6.000000	0.553171	0.016666	0.618367	0.000000	0.000000	0.000000	0.000000	0.037672	NaN	0.934096	NaN	0.121018	0.037672	1482864938.838173	1482864939.408933	0.037672	0.021001	0.895409	0.121018	0.937817	1482864938.088061	1482864938.219359	7.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	45.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	7.937005	1.000000	Inf	0.000000	7.000000	0.554192	0.016666	0.613353	0.000000	0.000000	1.000000	0.000000	0.037659	NaN	0.680791	NaN	0.121001	0.037659	1482864941.096868	1482864941.667643	0.037659	0.020985	0.668640	0.121001	0.687761	1482864940.346750	1482864940.482970	2.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	180.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	5.000000	1.000000	Inf	0.000000	8.000000	0.555025	0.016666	0.615216	0.000000	0.000000	0.000000	0.000000	0.037654	NaN	0.869455	NaN	0.121005	0.037654	1482864943.105528	1482864943.676298	0.037654	0.020990	0.852409	0.121005	0.879454	1482864942.355404	1482864942.489833	5.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	135.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	20.000000	1.000000	Inf	0.000000	9.000000	0.554112	0.016666	0.620132	0.000000	0.000000	1.000000	0.000000	0.037685	NaN	0.674415	NaN	0.121035	0.037685	1482864945.305871	1482864945.876620	0.037685	0.021014	0.668005	0.121035	0.679453	1482864944.555752	1482864944.685202	4.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
2016.000000	12.000000	27.000000	315.000000	1.324915	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083328	12.599210	1.000000	Inf	0.000000	10.000000	0.554480	0.016666	0.615589	0.000000	0.000000	1.000000	0.000000	0.037649	NaN	0.786031	NaN	0.120991	0.037649	1482864947.306197	1482864947.876977	0.037649	0.020975	0.779672	0.120991	0.787765	1482864946.556073	1482864946.690126	8.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749952	1.000000	1.000000	1.000000	0.812500	
