year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2017.000000	4.000000	5.000000	90.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	20.000000	1.000000	Inf	0.000000	1.000000	0.553705	0.033334	0.745419	0.000000	0.000000	1.000000	0.000000	0.072222	NaN	5.597751	NaN	0.155566	0.072222	1491435630.919219	1491435631.488767	0.072222	0.038880	5.593143	0.155566	5.606438	1491435630.169100	1491435630.167792	3.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	315.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	20.000000	1.000000	Inf	0.000000	2.000000	0.550097	0.033334	0.578720	0.000000	0.000000	0.000000	0.000000	0.054236	NaN	1.763663	NaN	0.137580	0.054236	1491435637.845320	1491435638.416186	0.054236	0.020896	1.721188	0.137580	1.771175	1491435637.095205	1491435637.266205	8.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	270.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083334	25.000000	1.000000	Inf	0.000000	3.000000	0.552636	0.033334	0.618890	0.000000	0.000000	1.000000	0.000000	0.054236	NaN	1.082196	NaN	0.137583	0.054236	1491435640.937479	1491435641.508345	0.054236	0.020899	1.060855	0.137583	1.087734	1491435640.187361	1491435640.317681	7.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	135.000000	1.325017	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	20.000000	1.000000	Inf	0.000000	4.000000	0.551167	0.033334	0.619711	0.000000	0.000000	1.000000	0.000000	0.054247	NaN	0.977470	NaN	0.137595	0.054247	1491435643.346203	1491435643.917054	0.054247	0.020911	0.956528	0.137595	0.979392	1491435642.596079	1491435642.725681	4.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	315.000000	1.325017	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	12.599210	1.000000	Inf	0.000000	5.000000	0.554181	0.033334	0.608478	0.000000	0.000000	1.000000	0.000000	0.062567	NaN	1.621091	NaN	0.145917	0.062567	1491435645.646570	1491435646.217431	0.062567	0.029228	1.616039	0.145917	1.629491	1491435644.896446	1491435645.037647	8.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	0.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083334	15.874011	1.000000	Inf	0.000000	6.000000	0.551628	0.033334	0.614611	0.000000	0.000000	1.000000	0.000000	0.054225	NaN	1.187943	NaN	0.137572	0.054225	1491435648.597037	1491435649.167911	0.054225	0.020887	1.169335	0.137572	1.196072	1491435647.846922	1491435647.982002	1.000000	1.000000	6.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	45.000000	1.325017	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	7.937005	1.000000	Inf	0.000000	7.000000	0.552314	0.033334	0.615507	0.000000	0.000000	1.000000	0.000000	0.054235	NaN	1.188271	NaN	0.137587	0.054235	1491435651.114105	1491435651.684968	0.054235	0.020898	1.172260	0.137587	1.196087	1491435650.363983	1491435650.498182	2.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	90.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	5.000000	1.000000	Inf	0.000000	8.000000	0.552496	0.033334	0.618190	0.000000	0.000000	0.000000	0.000000	0.054246	NaN	1.188537	NaN	0.137589	0.054246	1491435653.631176	1491435654.202029	0.054246	0.020909	1.175566	0.137589	1.196095	1491435652.881055	1491435653.012567	3.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	315.000000	1.325017	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	20.000000	1.000000	Inf	0.000000	9.000000	0.550742	0.033334	0.616224	0.000000	0.000000	1.000000	0.000000	0.054211	NaN	1.508709	NaN	0.137562	0.054211	1491435656.148245	1491435656.719129	0.054211	0.020870	1.490012	0.137562	1.512778	1491435655.398124	1491435655.531414	8.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
2017.000000	4.000000	5.000000	90.000000	1.325017	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083334	12.599210	1.000000	Inf	0.000000	10.000000	0.552377	0.033334	0.619865	0.000000	0.000000	1.000000	0.000000	0.054247	NaN	1.234982	NaN	0.137598	0.054247	1491435658.982031	1491435659.552878	0.054247	0.020910	1.232160	0.137598	1.237772	1491435658.231907	1491435658.361732	3.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.729167	
