year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2017.000000	3.000000	30.000000	0.000000	1.325341	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	15.000000	1.000000	Inf	0.000000	1.000000	0.554065	0.033342	0.746655	0.000000	0.000000	1.000000	0.000000	0.064862	NaN	1.117632	NaN	0.148209	0.064862	1490923233.695680	1490923234.264256	0.064862	0.031523	1.107716	0.148209	1.123358	1490923232.945564	1490923232.942941	1.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	45.000000	1.325341	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	15.000000	1.000000	Inf	0.000000	2.000000	0.555704	0.033342	0.584378	0.000000	0.000000	1.000000	0.000000	0.053913	NaN	0.614270	NaN	0.137260	0.053913	1490923236.137739	1490923236.708926	0.053913	0.020578	0.606720	0.137260	0.620674	1490923235.387614	1490923235.552923	2.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	0.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	15.000000	1.000000	Inf	0.000000	3.000000	0.552930	0.033342	0.620388	0.000000	0.000000	1.000000	0.000000	0.053869	NaN	0.656244	NaN	0.137210	0.053869	1490923238.079715	1490923238.650951	0.053869	0.020528	0.648524	0.137210	0.662299	1490923237.329600	1490923237.458856	1.000000	-1.000000	3.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	90.000000	1.325341	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	15.000000	1.000000	Inf	0.000000	4.000000	0.554413	0.033342	0.614492	0.000000	0.000000	1.000000	0.000000	0.053890	NaN	0.507356	NaN	0.137238	0.053890	1490923240.063368	1490923240.634576	0.053890	0.020552	0.497206	0.137238	0.512303	1490923239.313250	1490923239.448062	3.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	315.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	9.449408	1.000000	Inf	0.000000	5.000000	0.553803	0.033342	0.610886	0.000000	0.000000	1.000000	0.000000	0.053903	NaN	0.572403	NaN	0.137254	0.053903	1490923241.896997	1490923242.468193	0.053903	0.020571	0.559477	0.137254	0.578990	1490923241.146879	1490923241.285667	8.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	135.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	5.952754	1.000000	Inf	0.000000	6.000000	0.553232	0.033342	0.615263	0.000000	0.000000	1.000000	0.000000	0.053916	NaN	0.869415	NaN	0.137260	0.053916	1490923243.797307	1490923244.368492	0.053916	0.020575	0.860760	0.137260	0.879048	1490923243.047183	1490923243.181637	4.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	180.000000	1.325341	1.000000	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	3.750000	1.000000	Inf	0.000000	7.000000	0.552582	0.033342	0.619649	0.000000	0.000000	1.000000	0.000000	0.053915	NaN	0.589092	NaN	0.137259	0.053915	1490923245.997655	1490923246.568844	0.053915	0.020577	0.578839	0.137259	0.595667	1490923245.247540	1490923245.377557	5.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	180.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	2.362352	1.000000	Inf	0.000000	8.000000	0.556132	0.033342	0.615553	0.000000	0.000000	1.000000	0.000000	0.053892	NaN	0.634745	NaN	0.137242	0.053892	1490923247.914635	1490923248.485842	0.053892	0.020550	0.621716	0.137242	0.637320	1490923247.164511	1490923247.298650	5.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	225.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	1.488188	1.000000	Inf	0.000000	9.000000	0.553649	0.033342	0.619902	0.000000	0.000000	1.000000	0.000000	0.062233	NaN	1.193414	NaN	0.145579	0.062233	1490923249.873278	1490923250.444482	0.062233	0.028896	1.175477	0.145579	1.195752	1490923249.123162	1490923249.252921	6.000000	-1.000000	9.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
2017.000000	3.000000	30.000000	180.000000	1.325341	1.000000	0.000000	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083355	0.937500	1.000000	Inf	0.000000	10.000000	0.554977	0.033342	0.617570	0.000000	0.000000	0.000000	0.000000	0.062242	NaN	1.321769	NaN	0.145586	0.062242	1490923252.390350	1490923252.961550	0.062242	0.028903	1.282500	0.145586	1.329111	1490923251.640234	1490923251.772306	5.000000	1.000000	10.000000	1.000000	960.000000	540.000000	0.750000	1.000000	1.000000	1.000000	0.750000	
