year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2018.000000	7.000000	19.000000	90.000000	1.332771	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	5.000000	1.000000	Inf	0.000000	1.000000	0.550845	0.016660	0.747305	0.000000	0.000000	0.000000	0.000000	0.057804	NaN	0.826836	NaN	0.141151	0.057804	1532035650.927099	1532035651.502734	0.057804	0.041135	0.784381	0.141151	0.832929	1532035650.176978	1532035650.173992	3.000000	-1.000000	1.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	45.000000	1.332771	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	5.000000	1.000000	Inf	0.000000	2.000000	0.554631	0.016660	0.584588	0.000000	0.000000	1.000000	0.000000	0.029805	NaN	0.755836	NaN	0.113148	0.029805	1532035653.085787	1532035653.664413	0.029805	0.013134	0.735000	0.113148	0.763251	1532035652.335663	1532035652.500485	2.000000	1.000000	2.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	225.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	5.000000	1.000000	Inf	0.000000	3.000000	0.551753	0.016660	0.614971	0.000000	0.000000	0.000000	0.000000	0.029815	NaN	0.690507	NaN	0.113163	0.029815	1532035655.177785	1532035655.756401	0.029815	0.013161	0.674631	0.113163	0.696593	1532035654.427664	1532035654.562050	6.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	315.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	5.000000	1.000000	Inf	0.000000	4.000000	0.551253	0.016660	0.613868	0.000000	0.000000	1.000000	0.000000	0.029820	NaN	0.777222	NaN	0.113161	0.029820	1532035657.203114	1532035657.781729	0.029820	0.013150	0.769653	0.113161	0.779936	1532035656.452994	1532035656.588124	8.000000	-1.000000	4.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	90.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	3.149803	1.000000	Inf	0.000000	5.000000	0.549870	0.016660	0.609753	0.000000	0.000000	1.000000	0.000000	0.038157	NaN	1.377848	NaN	0.121499	0.038157	1532035659.311790	1532035659.890399	0.038157	0.021487	1.356933	0.121499	1.380037	1532035658.561665	1532035658.701260	3.000000	-1.000000	5.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	315.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	1.984251	1.000000	Inf	0.000000	6.000000	0.551990	0.016660	0.616315	0.000000	0.000000	1.000000	0.000000	0.038137	NaN	1.378398	NaN	0.121488	0.038137	1532035662.020555	1532035662.599184	0.038137	0.021468	1.360537	0.121488	1.388354	1532035661.270436	1532035661.403474	8.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	270.000000	1.332771	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	1.250000	1.000000	Inf	0.000000	7.000000	0.550638	0.016660	0.618332	0.000000	0.000000	1.000000	0.000000	0.029813	NaN	0.879939	NaN	0.113154	0.029813	1532035664.737662	1532035665.316283	0.029813	0.013142	0.874869	0.113154	0.888279	1532035663.987538	1532035664.118567	7.000000	1.000000	7.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	315.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083298	1.574901	1.000000	Inf	0.000000	8.000000	0.549765	0.016660	0.616201	0.000000	0.000000	1.000000	0.000000	0.029816	NaN	0.732259	NaN	0.113168	0.029816	1532035666.954682	1532035667.533297	0.029816	0.013152	0.730394	0.113168	0.738266	1532035666.204562	1532035666.337078	8.000000	-1.000000	8.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	225.000000	1.332771	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	0.787451	1.000000	Inf	0.000000	9.000000	0.553433	0.016660	0.619014	0.000000	0.000000	1.000000	0.000000	0.029806	NaN	1.011867	NaN	0.113149	0.029806	1532035669.021681	1532035669.600314	0.029806	0.013130	0.990878	0.113149	1.021635	1532035668.271563	1532035668.401903	6.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
2018.000000	7.000000	19.000000	0.000000	1.332771	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083298	0.496063	1.000000	Inf	0.000000	10.000000	0.550994	0.016660	0.615597	0.000000	0.000000	1.000000	0.000000	0.029801	NaN	0.773563	NaN	0.113150	0.029801	1532035671.372063	1532035671.950694	0.029801	0.013133	0.752552	0.113150	0.779924	1532035670.621949	1532035670.755751	1.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.749683	1.000000	1.000000	1.000000	0.729167	
