year	month	date	targPolarAngle	ITIDur	blockNum	catch	chosenRes	cueCond	cueStimISI	didRecalib	fixBreak	freebie	gaborContrast	gaborDur	gaborTilt	initlFixtnStatus	maxRespDur	minRespDur	origTrial	postEyeITITimeLeft	preCueDur	preEyeITITimeLeft	pressedQuit	prevDidDriftCorr	respCorrect	responseTimeout	tCueStimISIOff	tCueStimISIOns	tFeedback	tFixBreak	tGaborsOff	tGaborsOns	tITI_Fix2Start	tInTrialStart	tPreCueOff	tPreCueOns	tRes	tStimOff	tTrialEnd	tTrialFixStart	tTrialStart	targPos	tiltDirctn	trial	trialDone	trialFixX	trialFixY	visFeedbackDur	whichStair	dateNum	thisCondBlockNumber	thisBlockAccuracy	
2018.000000	1.000000	23.000000	225.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	5.000000	1.000000	Inf	0.000000	1.000000	0.562401	0.016677	0.738512	0.000000	0.000000	1.000000	0.000000	0.047509	NaN	1.499629	NaN	0.130860	0.047509	1516728197.630350	1516728198.207934	0.047509	0.030841	1.491933	0.130860	1.506090	1516728196.888561	1516728196.886167	6.000000	1.000000	1.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	45.000000	1.325808	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	5.000000	1.000000	Inf	0.000000	2.000000	0.554343	0.016677	0.574405	0.000000	0.000000	1.000000	0.000000	0.036768	NaN	0.890427	NaN	0.120112	0.036768	1516728200.455803	1516728201.035800	0.036768	0.020101	0.888773	0.120112	0.895237	1516728199.714024	1516728199.881448	2.000000	-1.000000	2.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	315.000000	1.325808	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	5.000000	1.000000	Inf	0.000000	3.000000	0.557615	0.016677	0.610615	0.000000	0.000000	0.000000	0.000000	0.036786	NaN	1.041418	NaN	0.120136	0.036786	1516728202.672824	1516728203.252803	0.036786	0.020120	1.015096	0.120136	1.045283	1516728201.931037	1516728202.062177	8.000000	1.000000	3.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	90.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	5.000000	1.000000	Inf	0.000000	4.000000	0.553544	0.016677	0.605863	0.000000	0.000000	1.000000	0.000000	0.036770	NaN	0.786457	NaN	0.120113	0.036770	1516728205.039871	1516728205.619866	0.036770	0.020100	0.776496	0.120113	0.795224	1516728204.298086	1516728204.433644	3.000000	1.000000	4.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	135.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	3.149803	1.000000	Inf	0.000000	5.000000	0.554773	0.016677	0.600795	0.000000	0.000000	1.000000	0.000000	0.036785	NaN	0.824068	NaN	0.120136	0.036785	1516728207.156876	1516728207.736857	0.036785	0.020119	0.819096	0.120136	0.828583	1516728206.415090	1516728206.556060	4.000000	1.000000	5.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	180.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	1.984251	1.000000	Inf	0.000000	6.000000	0.554771	0.016677	0.609154	0.000000	0.000000	0.000000	0.000000	0.045100	NaN	0.892369	NaN	0.128446	0.045100	1516728209.307220	1516728209.887219	0.045100	0.028432	0.884247	0.128446	0.895241	1516728208.565439	1516728208.698074	5.000000	-1.000000	6.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	135.000000	1.325808	1.000000	0.000000	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	7.937005	1.000000	Inf	0.000000	7.000000	0.559757	0.016677	0.607621	0.000000	0.000000	1.000000	0.000000	0.045112	NaN	0.659365	NaN	0.128453	0.045112	1516728211.524247	1516728212.104236	0.045112	0.028436	0.651539	0.128453	0.661871	1516728210.782460	1516728210.916686	4.000000	-1.000000	7.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	270.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0.083384	10.000000	1.000000	Inf	0.000000	8.000000	0.555345	0.016677	0.609329	0.000000	0.000000	1.000000	0.000000	0.045118	NaN	0.702372	NaN	0.128455	0.045118	1516728213.507897	1516728214.087885	0.045118	0.028438	0.692077	0.128455	0.711886	1516728212.766107	1516728212.897906	7.000000	1.000000	8.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	0.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	5.000000	1.000000	Inf	0.000000	9.000000	0.554623	0.016677	0.607074	0.000000	0.000000	1.000000	0.000000	0.036755	NaN	0.738018	NaN	0.120099	0.036755	1516728215.541553	1516728216.121569	0.036755	0.020079	0.731434	0.120099	0.745200	1516728214.799771	1516728214.934489	1.000000	1.000000	9.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
2018.000000	1.000000	23.000000	180.000000	1.325808	1.000000	0.000000	2.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.500000	0.083384	3.149803	1.000000	Inf	0.000000	10.000000	0.555009	0.016677	0.610137	0.000000	0.000000	0.000000	0.000000	0.036778	NaN	0.697719	NaN	0.120128	0.036778	1516728217.608550	1516728218.188539	0.036778	0.020110	0.678942	0.120128	0.703556	1516728216.866769	1516728216.998414	5.000000	-1.000000	10.000000	1.000000	960.000000	540.000000	0.742119	1.000000	1.000000	1.000000	0.812500	
