,,MEASUREMENTS ROUND 1,,,,,,,,,,,,,
step,color,red,,,green,,,blue,,,gray,,,,
,,lum,x,y,lum,x,y,lum,x,y,lum,x,y,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,32,0,0,0,1.7,0.291,0.512,0.36,0.188,0.123,1.96,0.315,0.334,,
3,64,2.63,0.589,0.318,7.78,0.296,0.589,0.87,0.161,0.069,9.81,0.315,0.334,,
4,96,5.87,0.613,0.322,18.6,0.297,0.604,1.8,0.157,0.061,24.6,0.315,0.334,,
5,128,10.8,0.623,0.325,35.4,0.299,0.610,3.46,0.155,0.058,49.0,0.315,0.334,,
6,160,18.7,0.629,0.326,62.8,0.300,0.612,5.41,0.154,0.057,84.2,0.315,0.334,,
7,192,28.2,0.633,0.328,97.0,0.303,0.614,9.00,0.153,0.057,132,0.314,0.334,,
8,224,41.2,0.629,0.330,146,0.307,0.616,14.4,0.153,0.059,201,0.313,0.333,,
9,255,54.1,0.644,0.331,194,0.315,0.617,25.1,0.153,0.071,271,0.310,0.328,,
,,,,,,,,,,,,,,,
,,MEASUREMENTS ROUND 2,,,,,,,,,,,,,
step,,red,,,green,,,blue,,,gray,,,,
,,lum,x,y,lum,x,y,lum,x,y,lum,x,y,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,32,0,0,0,1.56,0.289,0.506,0.36,0.193,0.128,1.93,0.315,0.332,,
3,64,2.35,0.585,0.317,7.06,0.295,0.587,0.81,0.162,0.070,9.74,0.315,0.334,,
4,96,5.43,0.611,0.323,17.1,0.279,0.603,1.69,0.157,0.061,24.4,0.315,0.334,,
5,128,10.1,0.622,0.325,33.3,0.298,0.609,3.16,0.155,0.058,48.7,0.315,0.334,,
6,160,17.9,0.628,0.326,59.6,0.300,0.612,5.41,0.154,0.057,83.8,0.315,0.334,,
7,192,27.3,0.633,0.328,93.5,0.302,0.614,8.73,0.154,0.058,132,0.314,0.335,,
8,224,40.5,0.538,0.330,143,0.306,0.615,14.0,0.153,0.059,201,0.313,0.333,,
9,255,53.8,0.644,0.332,193,0.315,0.616,25.0,0.153,0.071,271,0.310,0.328,,
,,,,,,,,,,,,,,,
,,AVERAGE,,,,,,,,,,,,,
step,,red,,,green,,,blue,,,gray,,,summation,
,,lum,x,y,lum,x,y,lum,x,y,lum,x,y,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,32,0,0,0,1.63,0.29,0.509,0.36,0.1905,0.1255,1.945,0.315,0.333,1.99,
3,64,2.49,0.587,0.3175,7.42,0.2955,0.588,0.84,0.1615,0.0695,9.775,0.315,0.334,10.75,
4,96,5.65,0.612,0.3225,17.85,0.288,0.6035,1.745,0.157,0.061,24.5,0.315,0.334,25.245,
5,128,10.45,0.6225,0.325,34.35,0.2985,0.6095,3.31,0.155,0.058,48.85,0.315,0.334,48.11,
6,160,18.3,0.6285,0.326,61.2,0.300,0.612,5.41,0.154,0.057,84,0.315,0.334,84.91,
7,192,27.75,0.633,0.328,95.25,0.3025,0.614,8.865,0.1535,0.0575,132,0.314,0.3345,131.865,
8,224,40.85,0.5835,0.330,144.5,0.3065,0.6155,14.2,0.153,0.059,201,0.313,0.333,199.55,
9,255,53.95,0.644,0.3315,193.5,0.315,0.6165,25.05,0.153,0.071,271,0.310,0.328,272.5,
,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,gray - test with loaded NormalizedGammaTable,,,,
"Lights off, door closed",,,,,,,,,step,color,lum,x,y,,
,,,,,,,,,1,0,0,0,0,,
,,,,,,,,,2,32,32.5,0.267,0.260,,
,,,,,,,,,3,64,64.4,0.282,0.284,,
,,,,,,,,,4,96,97.7,0.291,0.299,,
,,,,,,,,,5,128,131,0.295,0.306,,
,,,,,,,,,6,160,170,0.300,0.314,,
,,,,,,,,,7,192,209,0.304,0.319,,
,,,,,,,,,8,224,248,0.308,0.323,,
,,,,,,,,,9,255,270,0.310,0.328,looks good! ,
